epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,9115.96,1.45432,0.96308,1.15495,0.82498,0.80344,0.87376,0.5936,1.21085,0.75092,1.13107,0.007129,0.007129,0.007129
118,9193.99,1.44751,0.97523,1.15467,0.81668,0.80576,0.87542,0.59494,1.21144,0.75433,1.13022,0.00710425,0.00710425,0.00710425
119,9271.92,1.44386,0.96741,1.16185,0.82586,0.81614,0.88404,0.60079,1.21388,0.74335,1.13184,0.0070795,0.0070795,0.0070795
120,9350.21,1.44934,0.96639,1.16521,0.83589,0.81082,0.88162,0.59996,1.21475,0.73391,1.13727,0.00705475,0.00705475,0.00705475
121,9427.89,1.46077,0.98991,1.16771,0.83752,0.8013,0.87756,0.59179,1.22422,0.73204,1.14593,0.00703,0.00703,0.00703
122,9505.63,1.44222,0.97121,1.15996,0.83479,0.81572,0.87604,0.59472,1.21563,0.73142,1.1392,0.00700525,0.00700525,0.00700525
123,9583.56,1.4566,0.96968,1.16032,0.8348,0.80419,0.87172,0.59249,1.21404,0.73755,1.13657,0.0069805,0.0069805,0.0069805
124,9661.27,1.43825,0.96203,1.1586,0.84386,0.81689,0.88411,0.60128,1.21644,0.72801,1.13794,0.00695575,0.00695575,0.00695575
125,9738.79,1.43497,0.95152,1.15345,0.83599,0.8139,0.88445,0.6007,1.22401,0.71991,1.14254,0.006931,0.006931,0.006931
126,9816.89,1.43838,0.9717,1.15925,0.84217,0.80344,0.88046,0.59915,1.2237,0.71817,1.14164,0.00690625,0.00690625,0.00690625
127,9894.62,1.43512,0.94722,1.14625,0.86024,0.80047,0.89045,0.60558,1.22234,0.71106,1.13725,0.0068815,0.0068815,0.0068815
128,9972.5,1.44695,0.94521,1.15461,0.84418,0.80984,0.89126,0.61109,1.21492,0.70681,1.12931,0.00685675,0.00685675,0.00685675
129,10050.4,1.41522,0.9319,1.15421,0.83576,0.81839,0.88935,0.60882,1.20991,0.71526,1.13008,0.006832,0.006832,0.006832
130,10127.8,1.40379,0.91951,1.1445,0.85116,0.81206,0.89129,0.60922,1.20998,0.71269,1.13154,0.00680725,0.00680725,0.00680725
131,10205.6,1.42933,0.95852,1.15169,0.84041,0.82362,0.889,0.60868,1.21184,0.71126,1.13452,0.0067825,0.0067825,0.0067825
132,10283.5,1.42393,0.9379,1.14758,0.82589,0.83558,0.88742,0.6082,1.20807,0.7101,1.13201,0.00675775,0.00675775,0.00675775
133,10361.2,1.42253,0.94127,1.15467,0.83303,0.82408,0.8856,0.60437,1.20874,0.71713,1.13146,0.006733,0.006733,0.006733
134,10438.9,1.42593,0.94055,1.14413,0.82179,0.81683,0.8805,0.60056,1.20831,0.72049,1.13263,0.00670825,0.00670825,0.00670825
135,10516.8,1.42146,0.93943,1.14862,0.82341,0.8155,0.88275,0.60063,1.21624,0.71733,1.13811,0.0066835,0.0066835,0.0066835
136,10594.5,1.42741,0.932,1.15509,0.82099,0.81922,0.88273,0.60067,1.21632,0.71801,1.13918,0.00665875,0.00665875,0.00665875
