epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,21892.6,1.49969,1.51849,1.61985,0.85179,0.80065,0.86014,0.56542,1.21114,0.80927,1.51385,0.006799,0.006799,0.006799
99,22114.2,1.49827,1.52618,1.6244,0.85211,0.80153,0.85804,0.56562,1.21022,0.80903,1.51297,0.006766,0.006766,0.006766
100,22330.7,1.50316,1.49939,1.62344,0.85086,0.80567,0.8588,0.56656,1.20935,0.80757,1.5124,0.006733,0.006733,0.006733
101,22551.6,1.48861,1.48995,1.61835,0.85048,0.80725,0.86003,0.56689,1.20872,0.80689,1.51174,0.0067,0.0067,0.0067
102,22774.4,1.51906,1.53121,1.63355,0.85204,0.80725,0.85979,0.56695,1.20782,0.80551,1.51119,0.006667,0.006667,0.006667
103,22996.1,1.49813,1.50369,1.6356,0.84792,0.80725,0.8591,0.56675,1.20684,0.80549,1.51023,0.006634,0.006634,0.006634
104,23217.7,1.49389,1.50747,1.62556,0.84785,0.81011,0.8592,0.56683,1.2063,0.8048,1.51012,0.006601,0.006601,0.006601
105,23439.3,1.50641,1.5201,1.63505,0.84839,0.80821,0.85886,0.56703,1.20588,0.80241,1.51014,0.006568,0.006568,0.006568
106,23657.7,1.49346,1.49533,1.61735,0.84929,0.80916,0.85933,0.56832,1.2051,0.80156,1.50914,0.006535,0.006535,0.006535
107,23877.7,1.48381,1.50247,1.61777,0.85092,0.81107,0.85986,0.56825,1.20412,0.80054,1.50851,0.006502,0.006502,0.006502
108,24098.6,1.49247,1.51747,1.62434,0.85163,0.8106,0.86065,0.56874,1.20321,0.80073,1.50717,0.006469,0.006469,0.006469
109,24319.9,1.50121,1.49415,1.62171,0.84934,0.81225,0.8611,0.56864,1.20302,0.79945,1.50738,0.006436,0.006436,0.006436
110,24536.9,1.49019,1.49775,1.60978,0.8494,0.81267,0.86253,0.5699,1.20326,0.79818,1.50693,0.006403,0.006403,0.006403
111,24756.6,1.48678,1.54421,1.60798,0.84917,0.81122,0.86269,0.57035,1.20249,0.79809,1.506,0.00637,0.00637,0.00637
112,24977.6,1.47833,1.50189,1.60094,0.84923,0.81202,0.86234,0.57008,1.20251,0.79702,1.50557,0.006337,0.006337,0.006337
113,25198.9,1.50217,1.52803,1.6178,0.85169,0.81393,0.864,0.57179,1.20325,0.7951,1.50631,0.006304,0.006304,0.006304
114,25419.5,1.48725,1.50544,1.60661,0.853,0.81393,0.86384,0.57119,1.20291,0.79472,1.50535,0.006271,0.006271,0.006271
115,25640.1,1.46408,1.49134,1.59554,0.8524,0.81202,0.86407,0.57105,1.20185,0.79388,1.50437,0.006238,0.006238,0.006238
116,25861.6,1.49294,1.52021,1.61595,0.8573,0.80534,0.86141,0.5708,1.20021,0.79358,1.50307,0.006205,0.006205,0.006205
117,26078.3,1.49113,1.50466,1.61763,0.85883,0.8069,0.86304,0.57128,1.19951,0.79425,1.50135,0.006172,0.006172,0.006172
118,26295.7,1.49557,1.48302,1.62454,0.85888,0.80725,0.86398,0.57108,1.19911,0.79365,1.50103,0.006139,0.006139,0.006139
119,26515.4,1.46072,1.41738,1.59907,0.85738,0.80884,0.86306,0.5708,1.19823,0.79394,1.50077,0.006106,0.006106,0.006106
120,26735.5,1.49248,1.48135,1.60216,0.85731,0.80836,0.86359,0.5716,1.19775,0.79328,1.49985,0.006073,0.006073,0.006073
